"name","lang","country_id"
Afghanistan,3,1
Albanie,3,2
Allemagne,3,3
Andorre,3,4
Angola,3,5
Antigua-et-Barbuda,3,6
Arabie Saoudite,3,7
Algérie,3,8
Argentine,3,9
Arménie,3,10
Australie,3,11
Autriche,3,12
Azerbaïdjan,3,13
Bahamas,3,14
Bangladesh,3,15
Barbade,3,16
Bahreïn,3,17
Belgique,3,18
Bélize,3,19
Bénin,3,20
Biélorussie,3,21
Birmanie,3,22
Bolivie,3,23
Bosnie-Herzégovine,3,24
Botswana,3,25
Brésil,3,26
Brunei,3,27
Bulgarie,3,28
Burkina Faso,3,29
Burundi,3,30
Bhoutan,3,31
Cap-Vert,3,32
Cambodge,3,33
Cameroun,3,34
Canada,3,35
Qatar,3,36
Tchad,3,37
Chili,3,38
Chine,3,39
Chypre,3,40
Vatican,3,41
Colombie,3,42
Comores,3,43
Corée du Nord,3,44
Corée du Sud,3,45
Côte d´Ivoire,3,46
Costa Rica,3,47
Croatie,3,48
Cuba,3,49
Danemark,3,50
Dominique,3,51
Équateur,3,52
Égypte,3,53
Salvador,3,54
Émirats Arabes Unis,3,55
Érythrée,3,56
Slovaquie,3,57
Slovénie,3,58
Espagne,3,59
États-Unis,3,60
Estonie,3,61
Éthiopie,3,62
Philippines,3,63
Finlande,3,64
Fidji,3,65
France,3,66
Gabon,3,67
Gambie,3,68
Géorgie,3,69
Ghana,3,70
Grenade,3,71
Grèce,3,72
Guatemala,3,73
Guyane,3,74
Guinée,3,75
Guinée équatoriale,3,76
Guinée-Bissau,3,77
Haïti,3,78
Honduras,3,79
Hongrie,3,80
Inde,3,81
Indonésie,3,82
Irak,3,83
Iran,3,84
Irlande,3,85
Islande,3,86
Îles Marshall,3,87
Îles Salomon,3,88
Israël,3,89
Italie,3,90
Jamaïque,3,91
Japon,3,92
Jordanie,3,93
Kazakhstan,3,94
Kenya,3,95
Kirghizistan,3,96
Kiribati,3,97
Koweït,3,98
Laos,3,99
Lesotho,3,100
Lettonie,3,101
Liban,3,102
Libéria,3,103
Libye,3,104
Liechtenstein,3,105
Lituanie,3,106
Luxembourg,3,107
Madagascar,3,108
Malaisie,3,109
Malawi,3,110
Maldives,3,111
Mali,3,112
Malte,3,113
Maroc,3,114
Maurice,3,115
Mauritanie,3,116
Mexique,3,117
Micronésie,3,118
Moldavie,3,119
Monaco,3,120
Mongolie,3,121
Monténégro,3,122
Mozambique,3,123
Namibie,3,124
Nauru,3,125
Népal,3,126
Nicaragua,3,127
Niger,3,128
Nigeria,3,129
Norvège,3,130
Nouvelle-Zélande,3,131
Oman,3,132
Pays-Bas,3,133
Pakistan,3,134
Palau,3,135
Panama,3,136
Papouasie-Nouvelle-Guinée,3,137
Paraguay,3,138
Pérou,3,139
Pologne,3,140
Portugal,3,141
Royaume-Uni,3,142
République Centrafricaine,3,143
République tchèque,3,144
Macédoine du Nord,3,145
République du Congo,3,146
République Démocratique du Congo,3,147
République dominicaine,3,148
Afrique du Sud,3,149
Rwanda,3,150
Roumanie,3,151
Russie,3,152
Samoa,3,153
Saint-Christophe-et-Niévès,3,154
Saint-Marin,3,155
Saint-Vincent-et-les-Grenadines,3,156
Sainte-Lucie,3,157
Sao Tomé-et-Principe,3,158
Sénégal,3,159
Serbie,3,160
Seychelles,3,161
Sierra Leone,3,162
Singapour,3,163
Syrie,3,164
Somalie,3,165
Sri Lanka,3,166
Swaziland,3,167
Soudan,3,168
Soudan du Sud,3,169
Suède,3,170
Suisse,3,171
Suriname,3,172
Thaïlande,3,173
Tanzanie,3,174
Tadjikistan,3,175
Timor-Oriental,3,176
Togo,3,177
Tonga,3,178
Trinité-et-Tobago,3,179
Tunisie,3,180
Turkménistan,3,181
Turquie,3,182
Tuvalu,3,183
Ukraine,3,184
Ouganda,3,185
Uruguay,3,186
Ouzbékistan,3,187
Vanuatu,3,188
Venezuela,3,189
Vietnam,3,190
Yémen,3,191
Djibouti,3,192
Zambie,3,193
Zimbabwe,3,194
Taipei chinois,3,195
Chypre du Nord,3,196
AKV Kemajl Azizi,3,197
