"ns_id","name","lang"
1,The association of Albania,1
2,The association of Algeria,1
3,The association of Argentina,1
4,The association of Austria,1
5,The association of Belgium,1
6,The association of Benin,1
7,The association of Bolivia,1
8,The association of Bosnia and Herzegovina,1
9,The association of Brazil,1
10,The association of Bulgaria,1
11,The association of Canada,1
12,The association of Chile,1
13,The association of China,1
14,The association of Chinese Taipei,1
15,The association of Comoros,1
16,The association of Costa Rica,1
17,The association of Croatia,1
18,The association of Czech Republic,1
19,The association of Ecuador,1
20,The association of Estonia,1
21,The association of France,1
22,The association of Georgia,1
23,The association of Germany,1
24,The association of Ghana,1
25,The association of Greece,1
26,The association of Guatemala,1
27,The association of Honduras,1
28,The association of Hungary,1
29,The association of India,1
30,The association of Indonesia,1
31,The association of Israel,1
32,The association of Italy,1
33,The association of Japan,1
34,The association of AKV Kemajl Azizi,1
35,The association of Kyrgyzstan,1
36,The association of Luxembourg,1
37,The association of Malawi,1
38,The association of Malaysia,1
39,The association of Montenegro,1
40,The association of Netherlands,1
41,The association of North Macedonia,1
42,The association of Northern Cyprus,1
43,The association of Panama,1
44,The association of Paraguay,1
45,The association of Peru,1
46,The association of Poland,1
47,The association of Portugal,1
48,The association of Romania,1
49,The association of Serbia,1
50,The association of Sierra Leone,1
51,The association of Slovakia,1
52,The association of Slovenia,1
53,The association of South Korea,1
54,The association of South Africa,1
55,The association of Spain,1
56,The association of Switzerland,1
57,The association of Thailand,1
58,The association of East Timor,1
59,The association of Togo,1
60,The association of Turkey,1
61,The association of United Kingdom,1
62,The association of United States,1
63,The association of Uzbekistan,1
64,The association of Colombia,1
