"id","name","created_at","updated_at","slug"
1,International,2024-08-20 20:21:06.698,,international
2,Folk Dancing,2024-08-20 20:21:25.920,,folk-dancing
3,Folk Singing,2024-09-05 09:10:34.638,,folk_singing
4,Folk Music,2024-09-05 09:10:34.808,,folk_music
5,Traditional Cooking,2024-09-05 09:10:34.897,,traditional_cooking
7,Traditional games,2024-09-05 09:10:35.077,,traditional_games
8,Sector,2024-09-05 09:10:35.167,,sector
9,National,2024-09-05 09:10:35.258,,national
10,CIOFF,2024-09-05 09:10:35.346,,cioff
11,Children,2024-09-05 09:10:35.434,,children
12,Expositions,2024-09-05 09:10:35.522,,expositions
13,Conferences,2024-09-05 09:10:35.611,,conferences
14,Authentik,2024-09-05 09:10:35.699,,authentik
15,Elaborate,2024-09-05 09:10:35.788,,elaborate
16,Stylized,2024-09-05 09:10:35.909,,stylized
6,Traditional Trades,2024-09-05 09:10:34.984,,"traditional_trades,
"
